 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/Books.hs, 0.6831, True
Tests/Unit/pos/BinarySearch.hs, 0.7316, True
Tests/Unit/pos/bar.hs, 0.6237, True
Tests/Unit/pos/bangPatterns.hs, 0.6608, True
Tests/Unit/pos/AVLRJ.hs, 1.7248, True
Tests/Unit/pos/AVL.hs, 1.5764, True
Tests/Unit/pos/Avg.hs, 0.6287, True
Tests/Unit/pos/AutoTerm1.hs, 0.6270, True
Tests/Unit/pos/AutoTerm.hs, 0.6655, True
Tests/Unit/pos/AutoSize.hs, 0.6274, True
Tests/Unit/pos/AssumedRecursive.hs, 0.6199, True
Tests/Unit/pos/Assume.hs, 0.6598, True
Tests/Unit/pos/anish1.hs, 0.6483, True
Tests/Unit/pos/anftest.hs, 0.6315, True
Tests/Unit/pos/anfbug.hs, 0.6731, True
Tests/Unit/pos/AmortizedQueue.hs, 0.7289, True
Tests/Unit/pos/alphaconvert-Set.hs, 0.7704, True
Tests/Unit/pos/alphaconvert-List.hs, 0.9553, True
Tests/Unit/pos/alias01.hs, 0.6256, True
Tests/Unit/pos/alias00.hs, 0.6327, True
Tests/Unit/pos/adt0.hs, 0.6735, True
Tests/Unit/pos/Ackermann.hs, 0.6748, True
Tests/Unit/pos/absref-crash0.hs, 0.6328, True
Tests/Unit/pos/absref-crash.hs, 0.6306, True
Tests/Unit/pos/Abs.hs, 0.6400, True
Tests/Unit/neg/wrap1.hs, 0.8659, True
Tests/Unit/neg/wrap0.hs, 0.7114, True
Tests/Unit/neg/vector2.hs, 1.1070, True
Tests/Unit/neg/vector1a.hs, 0.8516, True
Tests/Unit/neg/vector0a.hs, 0.7454, True
Tests/Unit/neg/vector00.hs, 0.7113, True
Tests/Unit/neg/vector0.hs, 0.7877, True
Tests/Unit/neg/Variance1.hs, 0.6401, True
Tests/Unit/neg/Variance.hs, 0.6266, True
Tests/Unit/neg/tyclass0-unsafe.hs, 0.6340, True
Tests/Unit/neg/truespec.hs, 0.6632, True
Tests/Unit/neg/trans.hs, 1.3539, True
Tests/Unit/neg/TopLevel.hs, 0.6552, True
Tests/Unit/neg/testRec.hs, 0.6415, True
Tests/Unit/neg/test2.hs, 0.6807, True
Tests/Unit/neg/test1.hs, 0.6854, True
Tests/Unit/neg/test00c.hs, 0.6223, True
Tests/Unit/neg/test00b.hs, 0.6656, True
Tests/Unit/neg/test00a.hs, 0.6724, True
Tests/Unit/neg/test00.hs, 0.7035, True
Tests/Unit/neg/TermReal.hs, 0.6362, True
Tests/Unit/neg/TerminationNum0.hs, 0.6590, True
Tests/Unit/neg/TerminationNum.hs, 0.6480, True
Tests/Unit/neg/T745.hs, 0.6150, True
Tests/Unit/neg/T743.hs, 0.6712, True
Tests/Unit/neg/T743-mini.hs, 0.6354, True
Tests/Unit/neg/T602.hs, 0.6204, True
Tests/Unit/neg/sumPoly.hs, 0.6561, True
Tests/Unit/neg/sumk.hs, 0.6639, True
Tests/Unit/neg/Sum.hs, 0.6643, True
Tests/Unit/neg/Strings.hs, 0.6092, True
Tests/Unit/neg/string00.hs, 0.6744, True
Tests/Unit/neg/StrictPair1.hs, 0.8305, True
Tests/Unit/neg/StrictPair0.hs, 0.6231, True
Tests/Unit/neg/StreamInvariants.hs, 0.6281, True
Tests/Unit/neg/Strata.hs, 0.6163, True
Tests/Unit/neg/StateConstraints00.hs, 0.6408, True
Tests/Unit/neg/StateConstraints0.hs, 14.2036, True
Tests/Unit/neg/StateConstraints.hs, 1.0356, True
Tests/Unit/neg/state00.hs, 0.6408, True
Tests/Unit/neg/state0.hs, 0.6300, True
Tests/Unit/neg/stacks.hs, 0.8483, True
Tests/Unit/neg/Solver.hs, 1.0715, True
Tests/Unit/neg/SafePartialFunctions.hs, 0.6657, True
Tests/Unit/neg/risers.hs, 0.6635, True
Tests/Unit/neg/RG.hs, 0.8228, True
Tests/Unit/neg/revshape.hs, 0.6545, True
Tests/Unit/neg/RecSelector.hs, 0.6122, True
Tests/Unit/neg/RecQSort.hs, 0.7797, True
Tests/Unit/neg/record0.hs, 0.6314, True
Tests/Unit/neg/range.hs, 0.9437, True
Tests/Unit/neg/qsloop.hs, 0.7779, True
Tests/Unit/neg/QQTySyn2.hs, 2.7267, True
Tests/Unit/neg/QQTySyn1.hs, 2.7485, True
Tests/Unit/neg/QQTySig.hs, 2.6900, True
Tests/Unit/neg/prune0.hs, 0.6752, True
Tests/Unit/neg/Propability0.hs, 0.6550, True
Tests/Unit/neg/Propability.hs, 0.7525, True
Tests/Unit/neg/pred.hs, 0.5654, True
Tests/Unit/neg/pragma0-unsafe.hs, 0.6084, True
Tests/Unit/neg/poslist.hs, 0.7667, True
Tests/Unit/neg/polypred.hs, 0.6621, True
Tests/Unit/neg/poly2.hs, 0.6816, True
Tests/Unit/neg/poly2-degenerate.hs, 0.6855, True
Tests/Unit/neg/poly1.hs, 0.7036, True
Tests/Unit/neg/poly0.hs, 0.6949, True
Tests/Unit/neg/partial.hs, 0.6429, True
