 (HEAD -> strings, origin/strings) : 20523970e499f503556de9c9c53dcc649534a92b
Timestamp: 2016-07-13 16:44:03 -0700
Epoch Timestamp: 1468453443
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/exp0.hs, 0.6934, True
Tests/Unit/pos/ExactFunApp.hs, 0.6711, True
Tests/Unit/pos/ex1.hs, 0.8889, True
Tests/Unit/pos/ex01.hs, 0.6528, True
Tests/Unit/pos/ex0.hs, 0.7691, True
Tests/Unit/pos/Even0.hs, 0.6643, True
Tests/Unit/pos/Even.hs, 0.6488, True
Tests/Unit/pos/Eval.hs, 0.8939, True
Tests/Unit/pos/eqelems.hs, 0.7005, True
Tests/Unit/pos/elim01.hs, 0.7658, True
Tests/Unit/pos/elim00.hs, 0.6742, True
Tests/Unit/pos/elim-ex-map-3.hs, 2.4086, True
Tests/Unit/pos/elim-ex-map-2.hs, 2.4051, True
Tests/Unit/pos/elim-ex-map-1.hs, 2.3405, True
Tests/Unit/pos/elim-ex-list.hs, 2.3013, True
Tests/Unit/pos/elim-ex-let.hs, 2.1896, True
Tests/Unit/pos/elim-ex-compose.hs, 1.1539, True
Tests/Unit/pos/elems.hs, 0.6969, True
Tests/Unit/pos/elements.hs, 1.2279, True
Tests/Unit/pos/duplicate-bind.hs, 0.7225, True
Tests/Unit/pos/dropwhile.hs, 1.0061, True
Tests/Unit/pos/div000.hs, 0.6609, True
Tests/Unit/pos/deptupW.hs, 0.8453, True
Tests/Unit/pos/deptup3.hs, 0.7615, True
Tests/Unit/pos/deptup1.hs, 0.9907, True
Tests/Unit/pos/deptup0.hs, 0.8572, True
Tests/Unit/pos/deptup.hs, 1.1516, True
Tests/Unit/pos/deppair1.hs, 0.7175, True
Tests/Unit/pos/deppair0.hs, 0.7832, True
Tests/Unit/pos/DependentTypes.hs, 0.6774, True
Tests/Unit/pos/DeepNesting.hs, 5.9146, False
Tests/Unit/pos/deepmeas0.hs, 0.7940, True
Tests/Unit/pos/DB00.hs, 0.7211, True
Tests/Unit/pos/DataKinds.hs, 0.7735, True
Tests/Unit/pos/dataConQuals.hs, 0.7251, True
Tests/Unit/pos/datacon1.hs, 0.7260, True
Tests/Unit/pos/datacon0.hs, 0.8973, True
Tests/Unit/pos/datacon-inv.hs, 0.6531, True
Tests/Unit/pos/DataBase.hs, 0.7188, True
Tests/Unit/pos/data2.hs, 0.8328, True
Tests/Unit/pos/cut00.hs, 0.7568, True
Tests/Unit/pos/csgordon_issue_296.hs, 0.6404, True
Tests/Unit/pos/CountMonad.hs, 0.8387, True
Tests/Unit/pos/coretologic.hs, 0.6885, True
Tests/Unit/pos/contra0.hs, 0.7511, True
Tests/Unit/pos/ConstraintsAppend.hs, 1.5290, True
Tests/Unit/pos/Constraints.hs, 0.7708, True
Tests/Unit/pos/comprehensionTerm.hs, 1.3158, True
Tests/Unit/pos/CompareConstraints.hs, 1.0116, True
Tests/Unit/pos/compare2.hs, 0.7212, True
Tests/Unit/pos/compare1.hs, 0.7454, True
Tests/Unit/pos/compare.hs, 0.7359, True
Tests/Unit/pos/CommentedOut.hs, 0.6812, True
